IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
154.197.121.253,443,4-4白嫖,TRUE,白嫖065,Asia Pacific,Singapore,178,12.23
51.38.86.3,2053,4-4白嫖,TRUE,白嫖066,Asia Pacific,Singapore,178,12.23
8.222.134.170,2053,4-4白嫖,TRUE,白嫖067,Asia Pacific,Singapore,178,12.23
159.89.112.72,8443,4-4白嫖,TRUE,白嫖068,Asia Pacific,Singapore,178,12.23
8.222.155.242,2053,4-4白嫖,TRUE,白嫖069,Asia Pacific,Singapore,178,12.23
154.197.121.127,443,4-4白嫖,TRUE,白嫖070,Asia Pacific,Singapore,178,12.23
217.163.76.75,443,4-4白嫖,TRUE,白嫖071,Asia Pacific,Singapore,178,12.23
220.95.9.49,10175,4-4白嫖,TRUE,白嫖072,Asia Pacific,Singapore,178,12.23
47.254.66.75,443,4-4白嫖,TRUE,白嫖073,Asia Pacific,Singapore,178,12.23
131.186.34.11,2083,4-4白嫖,TRUE,白嫖074,Asia Pacific,Singapore,178,12.23
155.248.167.70,2053,4-4白嫖,TRUE,白嫖075,Asia Pacific,Singapore,178,12.23
141.147.61.116,2053,4-4白嫖,TRUE,白嫖076,Asia Pacific,Singapore,178,12.23
155.248.180.103,2053,4-4白嫖,TRUE,白嫖077,Asia Pacific,Singapore,178,12.23
158.179.188.7,2096,4-4白嫖,TRUE,白嫖078,Asia Pacific,Singapore,178,12.23
210.100.215.99,10197,4-4白嫖,TRUE,白嫖079,Asia Pacific,Singapore,178,12.23
150.230.220.232,2087,4-4白嫖,TRUE,白嫖080,Asia Pacific,Singapore,178,12.23
"47.251.74,226",443,4-4白嫖,TRUE,白嫖081,Asia Pacific,Singapore,178,12.23
141.148.212.70,443,4-4白嫖,TRUE,白嫖082,Asia Pacific,Singapore,178,12.23
43.155.117.16,2443,4-4白嫖,TRUE,白嫖083,Asia Pacific,Singapore,178,12.23
217.163.76.89,2053,4-4白嫖,TRUE,白嫖084,Asia Pacific,Singapore,178,12.23
131.186.46.75,2053,4-4白嫖,TRUE,白嫖085,Asia Pacific,Singapore,178,12.23
129.154.52.239,443,4-4白嫖,TRUE,白嫖086,Asia Pacific,Singapore,178,12.23
129.154.198.58,46452,4-4白嫖,TRUE,白嫖087,Asia Pacific,Singapore,178,12.23
47.243.183.127,2053,4-4白嫖,TRUE,白嫖088,Asia Pacific,Singapore,178,12.23
140.238.213.209,443,4-4白嫖,TRUE,白嫖089,Asia Pacific,Singapore,178,12.23
150.230.196.73,2096,4-4白嫖,TRUE,白嫖090,Asia Pacific,Singapore,178,12.23
158.179.189.235,8443,4-4白嫖,TRUE,白嫖091,Asia Pacific,Singapore,178,12.23
218.147.177.196,10243,4-4白嫖,TRUE,白嫖092,Asia Pacific,Singapore,178,12.23
193.111.31.133,50896,4-4白嫖,TRUE,白嫖093,Asia Pacific,Singapore,178,12.23
158.101.150.126,2083,4-4白嫖,TRUE,白嫖094,Asia Pacific,Singapore,178,12.23
47.245.13.93,8443,4-4白嫖,TRUE,白嫖095,Asia Pacific,Singapore,178,12.23
131.186.35.189,2096,4-4白嫖,TRUE,白嫖096,Asia Pacific,Singapore,178,12.23
45.66.130.90,443,4-4白嫖,TRUE,白嫖097,Asia Pacific,Singapore,178,12.23
64.110.103.69,443,4-4白嫖,TRUE,白嫖098,Asia Pacific,Singapore,178,12.23
8.222.197.251,2096,4-4白嫖,TRUE,白嫖099,Asia Pacific,Singapore,178,12.23
47.76.49.246,2096,4-4白嫖,TRUE,白嫖100,Asia Pacific,Singapore,178,12.23
47.236.166.84,2053,4-4白嫖,TRUE,白嫖101,Asia Pacific,Singapore,178,12.23
47.236.193.5,2087,4-4白嫖,TRUE,白嫖102,Asia Pacific,Singapore,178,12.23
47.236.193.208,2083,4-4白嫖,TRUE,白嫖103,Asia Pacific,Singapore,178,12.23
8.219.101.138,2053,4-4白嫖,TRUE,白嫖104,Asia Pacific,Singapore,178,12.23
8.219.230.254,8443,4-4白嫖,TRUE,白嫖105,Asia Pacific,Singapore,178,12.23
47.236.167.231,2053,4-4白嫖,TRUE,白嫖106,Asia Pacific,Singapore,179,13.23
47.236.121.23,2096,4-4白嫖,TRUE,白嫖107,Asia Pacific,Singapore,180,14.23
47.236.168.17,2083,4-4白嫖,TRUE,白嫖108,Asia Pacific,Singapore,181,15.23
8.219.50.180,2087,4-4白嫖,TRUE,白嫖109,Asia Pacific,Singapore,182,16.23
8.219.206.180,8443,4-4白嫖,TRUE,白嫖110,Asia Pacific,Singapore,183,17.23
8.222.164.44,8443,4-4白嫖,TRUE,白嫖111,Asia Pacific,Singapore,184,18.23
47.236.201.98,2053,4-4白嫖,TRUE,白嫖112,Asia Pacific,Singapore,185,19.23
8.219.101.138,2096,4-4白嫖,TRUE,白嫖113,Asia Pacific,Singapore,186,20.23
8.219.247.53,2083,4-4白嫖,TRUE,白嫖114,Asia Pacific,Singapore,187,21.23
47.236.121.23,8443,4-4白嫖,TRUE,白嫖115,Asia Pacific,Singapore,188,22.23
47.236.15.73,2096,4-4白嫖,TRUE,白嫖116,Asia Pacific,Singapore,189,23.23
8.222.167.147,8443,4-4白嫖,TRUE,白嫖117,Asia Pacific,Singapore,190,24.23
8.222.152.71,2083,4-4白嫖,TRUE,白嫖118,Asia Pacific,Singapore,191,25.23
8.219.201.245,2083,4-4白嫖,TRUE,白嫖119,Asia Pacific,Singapore,192,26.23
8.219.161.102,2087,4-4白嫖,TRUE,白嫖120,Asia Pacific,Singapore,193,27.23
47.236.173.200,2083,4-4白嫖,TRUE,白嫖121,Asia Pacific,Singapore,194,28.23
8.219.129.38,2053,4-4白嫖,TRUE,白嫖122,Asia Pacific,Singapore,195,29.23
47.236.76.199,2087,4-4白嫖,TRUE,白嫖123,Asia Pacific,Singapore,196,30.23
47.236.116.182,8443,4-4白嫖,TRUE,白嫖124,Asia Pacific,Singapore,197,31.23
