IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
,,,,HKG077,,Unknow,,10
,,,,HKG078,,Unknow,,10
,,,,HKG079,,Unknow,,10
,,,,HKG080,,Unknow,,10
,,,,HKG081,,Unknow,,10
,,,,HKG082,,Unknow,,10
,,,,HKG083,,Unknow,,10
,,,,HKG084,,Unknow,,10
,,,,HKG085,,Unknow,,10
,,,,HKG086,,Unknow,,10
,,,,HKG087,,Unknow,,10
,,,,HKG088,,Unknow,,10
,,,,HKG089,,Unknow,,10
,,,,HKG090,,Unknow,,10
,,,,HKG091,,Unknow,,10
,,,,HKG092,,Unknow,,10
,,,,HKG093,,Unknow,,10
,,,,HKG094,,Unknow,,10
,,,,HKG095,,Unknow,,10
,,,,HKG096,,Unknow,,10
,,,,HKG097,,Unknow,,10
,,,,HKG098,,Unknow,,10
,,,,HKG099,,Unknow,,10
,,,,HKG100,,Unknow,,10
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
129.154.212.181,44699,,TRUE,JP001,Asia Pacific,Tokyo,85,10
193.32.151.17,38489,,TRUE,JP002,Asia Pacific,Tokyo,71,10
151.145.65.8,2053,,TRUE,JP003,Asia Pacific,Tokyo,193,10
8.219.55.31,2053,,TRUE,JP004,Asia Pacific,Tokyo,60,10
151.145.66.219,2083,,TRUE,JP005,Asia Pacific,Tokyo,81,10
45.143.234.181,56649,,TRUE,JP006,Asia Pacific,Tokyo,87,10
151.145.74.199,2053,,TRUE,JP007,Asia Pacific,Tokyo,174,10
158.179.178.145,8443,,TRUE,JP008,Asia Pacific,Tokyo,94,10
168.138.206.68,8443,,TRUE,JP009,Asia Pacific,Tokyo,178,10
158.179.189.106,2087,,TRUE,JP010,Asia Pacific,Tokyo,176,10
158.101.133.129,2087,,TRUE,JP011,Asia Pacific,Tokyo,69,10
168.138.209.244,2087,,TRUE,JP012,Asia Pacific,Tokyo,62,10
151.145.71.40,2087,,TRUE,JP013,Asia Pacific,Tokyo,79,10
158.179.180.233,8443,,TRUE,JP014,Asia Pacific,Tokyo,81,10
52.147.69.148,443,,TRUE,JP015,Asia Pacific,Tokyo,85,10
151.145.66.219,2096,,TRUE,JP016,Asia Pacific,Tokyo,173,10
158.179.189.235,2083,,TRUE,JP017,Asia Pacific,Tokyo,107,10
47.245.15.236,2096,,TRUE,JP018,Asia Pacific,Tokyo,175,10
152.70.106.185,2087,,TRUE,JP019,Asia Pacific,Tokyo,198,10
20.243.203.228,8443,,TRUE,JP020,Asia Pacific,Tokyo,183,10
8.222.153.11,8443,,TRUE,JP021,Asia Pacific,Tokyo,65,10
168.138.212.184,8443,,TRUE,JP022,Asia Pacific,Tokyo,179,10
47.236.125.62,2087,,TRUE,JP023,Asia Pacific,Tokyo,178,10
47.245.15.236,2087,,TRUE,JP024,Asia Pacific,Tokyo,200,10
150.230.221.114,2087,,TRUE,JP025,Asia Pacific,Tokyo,183,10
151.145.74.56,8443,,TRUE,JP026,Asia Pacific,Tokyo,191,10
8.219.55.31,2083,,TRUE,JP027,Asia Pacific,Tokyo,70,10
158.179.180.109,2083,,TRUE,JP028,Asia Pacific,Tokyo,87,10
138.2.14.164,2096,,TRUE,JP029,Asia Pacific,Tokyo,100,10
150.230.221.114,2053,,TRUE,JP030,Asia Pacific,Tokyo,75,10
131.186.34.11,2053,,TRUE,JP031,Asia Pacific,Tokyo,82,10
193.122.125.174,2053,,TRUE,JP032,Asia Pacific,Tokyo,82,10
103.117.102.7,46665,,TRUE,JP033,Asia Pacific,Tokyo,69,10
132.145.127.21,2053,,TRUE,JP034,Asia Pacific,Tokyo,162,10
138.2.14.164,2053,,TRUE,JP035,Asia Pacific,Tokyo,121,10
158.179.182.19,2087,,TRUE,JP036,Asia Pacific,Tokyo,88,10
158.179.182.19,2083,,TRUE,JP037,Asia Pacific,Tokyo,110,10
158.179.186.251,2083,,TRUE,JP038,Asia Pacific,Tokyo,74,10
168.138.212.40,2083,,TRUE,JP039,Asia Pacific,Tokyo,79,10
47.74.7.51,2053,,TRUE,JP040,,Unknow,,10
47.74.10.135,2087,,TRUE,JP041,,Unknow,,10
47.74.10.135,2083,,TRUE,JP043,,Unknow,,10
47.74.7.51,8443,,TRUE,JP044,,Unknow,,10
158.179.186.251,8443,,TRUE,JP045,,Unknow,,10
132.145.126.21,2087,,TRUE,JP047,,Unknow,,10
47.74.42.111,2087,,TRUE,JP048,,Unknow,,10
158.179.178.142,2096,,TRUE,JP049,,Unknow,,10
147.78.245.145,34237,,TRUE,JP050,,Unknow,,10
47.74.34.38,8443,,TRUE,JP051,,Unknow,,10
132.145.126.21,8443,,TRUE,JP052,,Unknow,,10
158.179.189.235,2087,,TRUE,JP053,,Unknow,,10
39.126.158.244,12195,3-30-iptest,TRUE,JP054,,Unknow,,10
39.126.158.244,12385,3-30-iptest,TRUE,JP055,,Unknow,,10
8.209.240.229,2087,3-30-iptest,TRUE,JP056,,Unknow,,10
47.245.15.236,2083,3-30-iptest,TRUE,JP057,,Unknow,,10
8.222.153.11,2053,3-30-iptest,TRUE,JP058,,Unknow,,10
47.245.56.29,2086,3-30-iptest,FALSE,JP059,,Unknow,,10
47.74.16.255,8080,3-30-iptest,FALSE,JP060,,Unknow,,10
47.245.40.161,8880,3-30-iptest,FALSE,JP061,,Unknow,,10
47.74.7.51,2052,3-30-iptest,FALSE,JP062,,Unknow,,10
47.74.13.94,2086,3-30-iptest,FALSE,JP063,,Unknow,,10
47.74.42.111,80,3-30-iptest,FALSE,JP066,,Unknow,,10
47.74.5.233,8880,3-30-iptest,FALSE,JP067,,Unknow,,10
8.209.200.73,8080,3-30-iptest,FALSE,JP068,,Unknow,,10
47.74.13.94,2082,3-30-iptest,FALSE,JP069,,Unknow,,10
47.74.34.38,2086,3-30-iptest,FALSE,JP070,,Unknow,,10
47.236.125.62,2086,3-30-iptest,FALSE,JP071,,Unknow,,10
47.245.55.99,8080,3-31-iptest,FALSE,JP072,Asia Pacific,Osaka,,10
47.91.18.207,8880,3-31-iptest,FALSE,JP075,Asia Pacific,Osaka,,10
47.74.43.95,8080,3-31-iptest,FALSE,JP077,Asia Pacific,Osaka,,10
47.245.15.236,2086,3-31-iptest,FALSE,JP079,Asia Pacific,Osaka,,10
